Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-3000157,"Laminin interactions",20,31,0.0021346921911582425,1.1102230246251565E-16,3.774758283725532E-15,15,15,0.0011172352152539848,9606,Homo sapiens,"LAMA5;COL18A1;COL16A1;LAMB3;LAMA2;LAMB2;LAMA1;LAMA4;LAMA3;LAMC2;LAMB1;LAMC1;NID1;NID2;HSPG2;COL4A2;COL4A1;COL7A1;COL4A3;COL4A6;COL4A5","","R-HSA-3787997;R-HSA-4084507;R-HSA-2426530;R-HSA-4084505;R-HSA-3907292;R-HSA-4084501;R-HSA-216051;R-HSA-2426676;R-HSA-2328145;R-HSA-216048;R-HSA-2426450;R-HSA-2396083;R-HSA-2327803;R-HSA-216058;R-HSA-349626"
R-HSA-8874081,"MET activates PTK2 signaling",20,32,0.0022035532295827023,1.1102230246251565E-16,3.774758283725532E-15,5,5,3.7241173841799495E-4,9606,Homo sapiens,"LAMA5;LAMB3;LAMA2;LAMB2;LAMA1;LAMA4;COL11A1;HGF;LAMA3;FN1;LAMC2;LAMB1;LAMC1;COL1A1;COL3A1;COL2A1;COL1A2;COL5A1;COL5A3;COL5A2","","R-HSA-8874083;R-HSA-8874082;R-HSA-8874080;R-HSA-8874079;R-HSA-8874078"
R-HSA-2243919,"Crosslinking of collagen fibrils",15,24,0.0016526649221870265,1.1102230246251565E-16,3.774758283725532E-15,13,13,9.682705198867869E-4,9606,Homo sapiens,"COL16A1;PCOLCE;LOXL1;LOXL2;COL1A1;COL1A2;BMP1;LOX;COL4A2;COL4A1;COL4A3;PXDN;COL4A6;COL4A5","","R-HSA-2395302;R-HSA-2022141;R-HSA-2395340;R-HSA-2559639;R-HSA-2395223;R-HSA-2243926;R-HSA-2395314;R-HSA-2395324;R-HSA-2243931;R-HSA-2002466;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301"
R-HSA-2022090,"Assembly of collagen fibrils and other multimeric structures",39,67,0.004613689574438783,1.1102230246251565E-16,3.774758283725532E-15,26,26,0.0019365410397735737,9606,Homo sapiens,"COL18A1;COL15A1;COL16A1;COL14A1;COL11A1;LAMA3;COL12A1;LAMC2;LOXL1;LOXL2;CTSL;COL10A1;CTSB;LAMB3;MMP1;PCOLCE;CTSL1;COL1A1;COL3A1;COL2A1;COL1A2;BMP1;COL5A1;COL4A2;LOX;COL4A1;COL7A1;COL6A2;COL5A3;COL6A1;COL5A2;COL4A3;PXDN;COL4A6;COL8A1;COL6A3;COL4A5;PLEC","","R-HSA-2395302;R-HSA-2299620;R-HSA-1474266;R-HSA-2214324;R-HSA-2395314;R-HSA-2395324;R-HSA-2214330;R-HSA-2395257;R-HSA-2395322;R-HSA-2250301;R-HSA-2022141;R-HSA-2395340;R-HSA-2213192;R-HSA-2213195;R-HSA-2396234;R-HSA-2213201;R-HSA-2559639;R-HSA-2213200;R-HSA-2395223;R-HSA-2213205;R-HSA-2243926;R-HSA-2213207;R-HSA-2213208;R-HSA-2243931;R-HSA-2213210;R-HSA-2002466"
R-HSA-8875878,"MET promotes cell motility",20,45,0.0030987467291006747,1.1102230246251565E-16,3.774758283725532E-15,12,12,8.937881722031879E-4,9606,Homo sapiens,"LAMA5;LAMB3;LAMA2;LAMB2;LAMA1;LAMA4;COL11A1;HGF;LAMA3;FN1;LAMC2;LAMB1;LAMC1;COL1A1;COL3A1;COL2A1;COL1A2;COL5A1;COL5A3;COL5A2","","R-HSA-8875591;R-HSA-8875558;R-HSA-8875540;R-HSA-8874083;R-HSA-8875523;R-HSA-8874082;R-HSA-8875568;R-HSA-8874080;R-HSA-8874079;R-HSA-8874078;R-HSA-8875531;R-HSA-8875576"
R-HSA-8957275,"Post-translational protein phosphorylation",27,109,0.007505853188266079,1.1102230246251565E-16,3.774758283725532E-15,1,1,7.448234768359899E-5,9606,Homo sapiens,"SPARC;ITIH2;SERPINC1;TNC;LAMC1;LTBP1;PRSS23;LGALS1;IGFBP7;TIMP1;APOE;APOB;IGFBP5;AHSG;LAMB2;IGFBP4;IGFBP3;FGG;FN1;APOA1;ADAM10;LAMB1;F5;VCAN;VWA1;CSPG2;MFGE8;FBN1","","R-HSA-8952289"
R-HSA-1566948,"Elastic fibre formation",28,46,0.0031676077675251344,1.1102230246251565E-16,3.774758283725532E-15,16,17,0.0012661999106211828,9606,Homo sapiens,"FBN2;FBN3;ELN;LTBP4;LTBP2;FBLN1;LTBP3;LTBP1;FBLN2;FBLN5;LOXL1;LOXL2;VTN;EFEMP2;EFEMP1;EMILIN2;EMILIN1;TGFB1;FN1;MFAP5;BMP2;LOX;MFAP1;MFAP2;ITGA5;FBN1","","R-HSA-2395364;R-HSA-2161282;R-HSA-2328033;R-HSA-2395328;R-HSA-2328037;R-HSA-2537665;R-HSA-2129353;R-HSA-2129385;R-HSA-2396399;R-HSA-2161293;R-HSA-2129357;R-HSA-2129362;R-HSA-2328048;R-HSA-1592387;R-HSA-2395320;R-HSA-2129375"
R-HSA-1442490,"Collagen degradation",37,69,0.004751411651287701,1.1102230246251565E-16,3.774758283725532E-15,32,34,0.0025323998212423656,9606,Homo sapiens,"COL18A1;COL15A1;COL16A1;COL14A1;COL11A1;COL12A1;COL19A1;CTSL;CTSK;COL10A1;CTSD;CTSB;MMP1;MMP2;ADAM10;CTSL1;COL1A1;COL3A1;ADAM17;COL2A1;COL1A2;COL5A1;COL4A2;COL4A1;COL7A1;COL6A2;COL5A3;COL6A1;COL5A2;COL4A3;COL4A6;COL8A1;COL6A3;COL4A5;ADAM9","","R-HSA-1564117;R-HSA-1474196;R-HSA-1474197;R-HSA-1564179;R-HSA-2168038;R-HSA-1564112;R-HSA-2168046;R-HSA-1564120;R-HSA-1564184;R-HSA-2485111;R-HSA-1564164;R-HSA-2172405;R-HSA-2473584;R-HSA-1458433;R-HSA-2473596;R-HSA-1564169;R-HSA-2473594;R-HSA-2471621;R-HSA-2168960;R-HSA-2482180;R-HSA-2167942;R-HSA-2172433;R-HSA-1454822;R-HSA-1454757;R-HSA-1474213;R-HSA-1474210;R-HSA-2484882;R-HSA-2168982;R-HSA-1564143;R-HSA-1564142;R-HSA-2168923;R-HSA-2537499"
R-HSA-3000178,"ECM proteoglycans",40,79,0.005440022035532296,1.1102230246251565E-16,3.774758283725532E-15,21,23,0.0017130939967227767,9606,Homo sapiens,"LAMA5;SPARC;COL16A1;TNXB;LAMA2;LAMA1;LAMA4;LAMA3;SERPINE1;TNC;LAMC1;HAPLN1;COMP;ACAN;VTN;TGFB1;LAMB2;LUM;FN1;BGN;LAMB1;HSPG2;DCN;COL1A1;COL3A1;VCAN;COL2A1;COL1A2;COL5A1;COL4A2;COL4A1;COL6A2;COL5A3;COL6A1;COL5A2;COL4A3;COL4A6;COL6A3;COL4A5;CSPG2;AGRN;MATN4","","R-HSA-2467716;R-HSA-4086204;R-HSA-2426471;R-HSA-2327909;R-HSA-2396079;R-HSA-2681667;R-HSA-2327886;R-HSA-2467659;R-HSA-2396395;R-HSA-2424246;R-HSA-2467665;R-HSA-2467633;R-HSA-2396370;R-HSA-2424243;R-HSA-2424252;R-HSA-2396124;R-HSA-2681681;R-HSA-2466238;R-HSA-2318623;R-HSA-2465883;R-HSA-2466106"
R-HSA-1474290,"Collagen formation",56,104,0.007161547996143782,1.1102230246251565E-16,3.774758283725532E-15,70,77,0.005735140771637122,9606,Homo sapiens,"COL18A1;COLGALT2;COL16A1;COL14A1;COL12A1;PLOD3;LAMC2;PLOD2;PLOD1;LOXL1;LOXL2;CTSL;COL10A1;COLGALT1;CTSB;MMP1;PCOLCE;CTSL1;COL2A1;COL4A2;LOX;COL4A1;COL6A2;COL6A1;COL4A3;PXDN;COL4A6;COL21A1;COL8A1;COL6A3;COL4A5;PLEC;COL15A1;COL11A1;LAMA3;COL19A1;SERPINH1;CRTAP;LAMB3;COL22A1;COL1A1;COL3A1;BMP1;COL1A2;P4HA1;COL5A1;P4HA2;P4HA3;COL7A1;COL5A3;COL5A2","","R-HSA-8948232;R-HSA-8944265;R-HSA-2002460;R-HSA-8948234;R-HSA-8944266;R-HSA-2395302;R-HSA-8948224;R-HSA-8948226;R-HSA-8948228;R-HSA-8944261;R-HSA-8944262;R-HSA-8948230;R-HSA-8948231;R-HSA-8944263;R-HSA-2214324;R-HSA-2002440;R-HSA-2395314;R-HSA-2395324;R-HSA-2214330;R-HSA-2395322;R-HSA-2250301;R-HSA-2022073;R-HSA-1981104;R-HSA-2559639;R-HSA-2002466;R-HSA-2299620;R-HSA-1474266;R-HSA-8944216;R-HSA-8944218;R-HSA-8944219;R-HSA-8944220;R-HSA-1981128;R-HSA-1980233;R-HSA-8944223;R-HSA-2395257;R-HSA-1981120;R-HSA-8944214;R-HSA-8944232;R-HSA-1650808;R-HSA-8944233;R-HSA-2002428;R-HSA-2022141;R-HSA-8944236;R-HSA-1614460;R-HSA-1614461;R-HSA-2395340;R-HSA-2213192;R-HSA-2213195;R-HSA-8944227;R-HSA-2089971;R-HSA-2396234;R-HSA-8944230;R-HSA-2213201;R-HSA-2213200;R-HSA-8948219;R-HSA-2395223;R-HSA-2213205;R-HSA-2152276;R-HSA-2243926;R-HSA-2213207;R-HSA-8948222;R-HSA-8944255;R-HSA-8944240;R-HSA-2213208;R-HSA-2243931;R-HSA-1981157;R-HSA-2213210;R-HSA-8944246;R-HSA-8944247;R-HSA-2002401"
